     1	Fst.s1.adm	Fst.s2.adm	Fst.s1.s2	mean.ASD.s1.adm	var.ASD.s1.adm	mean.ASD.s2.adm	var.ASD.s2.adm	mean.ASD.s1.s2	var.ASD.s1.s2	f3	mean.ASD.s1	var.ASD.s1	mean.ASD.s2	var.ASD.s2	mean.ASD.adm	var.ASD.adm	mean.het.s1	var.het.s1	mean.het.s2	var.het.s2	mean.het.adm	var.het.adm	mean.F.s1	var.F.s1	mean.F.s2	var.F.s2	mean.F.adm	var.F.adm	mean.adm.props	var.adm.props	skew.adm.props	kurt.adm.props	mode.adm.props	mean.adm.angles	var.adm.angles	skew.adm.angles	kurt.adm.angles	mode.adm.angles	perc0.adm.props	perc10.adm.props	perc20.adm.props	perc30.adm.props	perc40.adm.props	perc50.adm.props	perc60.adm.props	perc70.adm.props	perc80.adm.props	perc90.adm.props	perc100.adm.props	perc0.adm.angles	perc10.adm.angles	perc20.adm.angles	perc30.adm.angles	perc40.adm.angles	perc50.adm.angles	perc60.adm.angles	perc70.adm.angles	perc80.adm.angles	perc90.adm.angles	perc100.adm.angles
     2	3.354720e-01	4.036239e-01	8.548136e-02	6.122400e-02	3.942090e-05	5.907040e-02	3.819055e-05	5.210880e-02	3.132148e-05	8.130737e-01	5.138000e-02	4.382836e-05	4.051333e-02	2.782925e-05	2.071333e-02	1.390417e-05	5.914612e-02	1.373434e-02	4.701878e-02	1.307929e-02	2.632490e-02	1.016519e-02	8.557154e-03	3.722990e-02	3.527900e-02	2.362983e-02	-2.108658e-02	3.803750e-02	6.742420e-01	1.341365e-02	-5.665231e-01	-6.020607e-02	6.642468e-01	5.261374e-01	2.167061e-03	-4.938638e-01	-6.309577e-01	5.532460e-01	3.936759e-01	5.196777e-01	6.122716e-01	6.391736e-01	6.541458e-01	6.787419e-01	6.933583e-01	7.347245e-01	7.574512e-01	8.203108e-01	8.639105e-01	4.216347e-01	4.628088e-01	4.883703e-01	5.051861e-01	5.188448e-01	5.299108e-01	5.522200e-01	5.551843e-01	5.644928e-01	5.738624e-01	6.051850e-01
     4	3.283519e-01	4.324043e-01	7.898466e-02	5.941600e-02	3.975615e-05	5.812320e-02	2.931973e-05	5.094080e-02	3.860707e-05	8.981825e-01	5.182667e-02	4.008357e-05	3.826000e-02	2.369806e-05	1.970000e-02	1.472575e-05	6.080816e-02	1.444521e-02	4.490939e-02	1.300251e-02	2.461388e-02	9.305035e-03	-1.170627e-02	1.985775e-02	2.559349e-02	2.368707e-02	5.439109e-03	5.407342e-02	8.398690e-01	1.272150e-02	-2.212610e-01	-1.313801e+00	9.007151e-01	5.092052e-01	1.877118e-03	2.822729e-01	-1.072819e+00	4.976449e-01	6.436030e-01	6.751094e-01	7.304190e-01	7.698424e-01	8.245637e-01	8.458823e-01	8.843101e-01	9.164776e-01	9.530517e-01	9.816703e-01	9.959932e-01	4.447416e-01	4.548543e-01	4.657544e-01	4.926076e-01	4.960409e-01	5.023248e-01	5.068046e-01	5.272977e-01	5.559997e-01	5.674329e-01	5.961822e-01
     6	2.538210e-01	2.964771e-01	8.574404e-02	4.860320e-02	4.464999e-05	4.272640e-02	1.756445e-05	5.009440e-02	3.904716e-05	6.086019e-01	4.978000e-02	4.161699e-05	3.818667e-02	1.912223e-05	1.485333e-02	1.012557e-05	5.851265e-02	1.376748e-02	4.570122e-02	1.328389e-02	1.854367e-02	7.043379e-03	-2.952091e-02	4.919780e-02	-1.178908e-02	1.218040e-02	-8.804367e-04	7.611452e-02	4.493479e-01	1.217965e-02	-4.267662e-02	-1.366937e+00	4.043181e-01	7.848837e-01	5.095636e-03	7.701490e-01	-2.208703e-01	7.527522e-01	2.572370e-01	3.120679e-01	3.366646e-01	3.847038e-01	4.129108e-01	4.408410e-01	4.801047e-01	5.445968e-01	5.619315e-01	5.863388e-01	6.158012e-01	6.771254e-01	7.213018e-01	7.275211e-01	7.362485e-01	7.609913e-01	7.662842e-01	7.827541e-01	8.074250e-01	8.369272e-01	8.815712e-01	9.579590e-01
     8	3.087484e-01	3.989173e-01	7.656628e-02	6.110720e-02	2.479137e-05	6.156480e-02	2.241927e-05	5.192320e-02	3.273127e-05	7.165451e-01	5.223333e-02	3.195206e-05	4.068667e-02	2.128611e-05	2.324000e-02	1.593552e-05	6.000653e-02	1.401236e-02	4.826776e-02	1.315502e-02	2.998857e-02	1.127114e-02	8.107961e-03	3.890634e-02	-7.712082e-03	2.542734e-02	-6.173780e-02	6.483457e-02	9.281361e-01	3.853051e-03	-1.340356e+00	1.021112e+00	9.593131e-01	4.776228e-01	8.273491e-04	5.485075e-01	-2.733863e-01	4.644821e-01	7.545893e-01	8.508299e-01	8.862849e-01	9.273468e-01	9.353075e-01	9.468102e-01	9.565755e-01	9.629993e-01	9.799190e-01	9.835306e-01	9.885418e-01	4.350521e-01	4.432872e-01	4.529321e-01	4.591555e-01	4.666982e-01	4.716175e-01	4.845748e-01	4.916374e-01	4.985139e-01	5.101815e-01	5.506332e-01
    10	2.453788e-01	2.609475e-01	8.699830e-02	5.066400e-02	3.550872e-05	4.640000e-02	3.160577e-05	5.048800e-02	3.669577e-05	4.323028e-01	4.857333e-02	3.009159e-05	4.052000e-02	2.530060e-05	2.022000e-02	1.545645e-05	5.671673e-02	1.400006e-02	4.753633e-02	1.310149e-02	2.587755e-02	1.033709e-02	-5.757218e-05	2.910564e-02	1.044099e-02	4.515639e-02	-2.018927e-02	4.977742e-02	4.456889e-01	1.637877e-02	4.065541e-01	-6.641159e-01	4.511260e-01	7.379701e-01	6.101792e-03	-2.557786e-01	-1.112045e+00	7.947852e-01	2.439656e-01	2.984725e-01	3.369759e-01	3.557000e-01	4.320096e-01	4.347281e-01	4.620537e-01	4.870727e-01	5.320589e-01	6.341061e-01	7.105924e-01	5.835948e-01	6.375822e-01	6.776543e-01	6.877607e-01	7.075690e-01	7.420107e-01	7.692813e-01	7.966508e-01	8.080277e-01	8.360641e-01	8.516928e-01
    12	2.764291e-01	3.484213e-01	6.135876e-02	5.351520e-02	2.336555e-05	5.092320e-02	2.832743e-05	5.219520e-02	3.153555e-05	7.541860e-01	5.305333e-02	3.051889e-05	4.150000e-02	2.700000e-05	1.628667e-02	1.011153e-05	6.089633e-02	1.462527e-02	4.871673e-02	1.331027e-02	2.106122e-02	8.483615e-03	3.179710e-02	2.428026e-02	9.785851e-03	2.897769e-02	-4.077519e-02	4.094007e-02	7.578766e-01	1.234035e-02	-4.652001e-01	-6.319953e-01	8.016277e-01	5.910781e-01	2.752458e-03	1.953136e-01	-1.018084e+00	5.621603e-01	5.233574e-01	5.976408e-01	6.709356e-01	7.024426e-01	7.473884e-01	7.719404e-01	8.061396e-01	8.166341e-01	8.464964e-01	8.802239e-01	9.506024e-01	5.137825e-01	5.192333e-01	5.427267e-01	5.588051e-01	5.669722e-01	5.889827e-01	6.126900e-01	6.253896e-01	6.377656e-01	6.544107e-01	7.041230e-01
    14	3.179394e-01	3.178431e-01	8.667392e-02	5.407680e-02	2.899089e-05	4.354560e-02	2.023229e-05	4.990400e-02	3.348436e-05	7.487160e-01	5.094000e-02	3.248468e-05	3.689333e-02	2.256384e-05	1.516000e-02	1.064990e-05	5.868571e-02	1.417700e-02	4.396571e-02	1.327191e-02	1.939102e-02	7.589467e-03	2.259007e-02	2.262090e-02	1.195737e-02	1.940351e-02	-4.378210e-02	9.779838e-02	1.117743e-01	1.689192e-02	1.943581e-01	-1.371769e+00	5.017367e-02	6.498078e-01	2.148804e-03	2.453899e-01	-3.080963e-01	6.587605e-01	-7.788859e-02	-5.200338e-02	-1.956564e-02	4.701241e-02	5.857575e-02	7.704927e-02	1.268044e-01	2.041194e-01	2.563832e-01	2.894532e-01	3.321503e-01	5.624869e-01	6.032706e-01	6.138732e-01	6.164299e-01	6.385926e-01	6.510133e-01	6.642201e-01	6.716535e-01	6.875652e-01	7.030924e-01	7.634356e-01
    16	2.608543e-01	2.569694e-01	8.868283e-02	5.121920e-02	2.957207e-05	4.385920e-02	2.207950e-05	4.891520e-02	3.213543e-05	4.448796e-01	4.757333e-02	4.004477e-05	3.810000e-02	2.201003e-05	1.982667e-02	1.138792e-05	5.657143e-02	1.349361e-02	4.572735e-02	1.282101e-02	2.563592e-02	1.051407e-02	-4.363636e-02	2.428086e-02	-3.570408e-02	1.637502e-02	-2.356388e-02	2.400080e-02	2.396823e-01	2.221569e-02	-8.042517e-02	-5.371286e-01	2.300101e-01	7.142338e-01	5.031563e-03	6.901441e-01	5.716326e-01	7.316316e-01	-4.807006e-02	4.393281e-02	1.379945e-01	1.834442e-01	1.967088e-01	2.430190e-01	2.615377e-01	3.101098e-01	3.386500e-01	4.456866e-01	5.317028e-01	5.958508e-01	6.299679e-01	6.496069e-01	6.802180e-01	6.956909e-01	7.142575e-01	7.338024e-01	7.431485e-01	7.562476e-01	7.763091e-01	9.131043e-01
    18	2.716469e-01	3.104879e-01	9.283572e-02	5.008000e-02	2.915385e-05	4.386880e-02	3.428084e-05	4.950400e-02	4.204526e-05	6.307621e-01	4.943333e-02	2.994537e-05	3.671333e-02	3.218511e-05	1.549333e-02	1.261868e-05	5.709224e-02	1.347951e-02	4.489959e-02	1.245517e-02	1.930286e-02	7.401998e-03	-1.887386e-03	2.587290e-02	-6.014327e-02	3.240784e-02	9.473061e-03	4.211841e-02	4.522208e-01	7.273715e-03	3.586692e-01	-6.477964e-01	4.308588e-01	7.441061e-01	3.629035e-03	-2.999826e-01	-4.791489e-01	7.537707e-01	2.911089e-01	3.612947e-01	3.742387e-01	3.963296e-01	4.372990e-01	4.402095e-01	4.529031e-01	4.663353e-01	5.362028e-01	5.680306e-01	6.412911e-01	6.080262e-01	6.618141e-01	6.998396e-01	7.261226e-01	7.405631e-01	7.508392e-01	7.629641e-01	7.672723e-01	7.774353e-01	8.211031e-01	8.458104e-01
    20	3.372000e-01	3.417029e-01	7.594513e-02	5.772800e-02	3.525282e-05	4.765760e-02	3.072552e-05	5.003840e-02	3.210429e-05	8.521850e-01	5.097333e-02	3.281534e-05	3.857333e-02	2.415848e-05	1.649333e-02	1.116718e-05	5.907265e-02	1.466146e-02	4.553143e-02	1.317127e-02	1.987592e-02	7.712032e-03	1.138688e-02	2.617317e-02	9.036145e-03	4.680245e-02	5.815673e-02	6.824416e-02	-9.171243e-03	1.560663e-02	2.997732e-01	-7.222228e-01	-6.244549e-02	5.447451e-01	1.813824e-03	1.030462e+00	9.631862e-01	5.521009e-01	-2.308925e-01	-1.655598e-01	-9.909578e-02	-8.184112e-02	-5.452697e-02	-4.440692e-02	2.237261e-02	5.758555e-02	9.184360e-02	1.577241e-01	2.684558e-01	4.788068e-01	5.052061e-01	5.114483e-01	5.192877e-01	5.267454e-01	5.413857e-01	5.523919e-01	5.597790e-01	5.625436e-01	5.886673e-01	6.651492e-01
