     1	Fst.s1.adm	Fst.s2.adm	Fst.s1.s2	mean.ASD.s1.adm	var.ASD.s1.adm	mean.ASD.s2.adm	var.ASD.s2.adm	mean.ASD.s1.s2	var.ASD.s1.s2	f3	mean.ASD.s1	var.ASD.s1	mean.ASD.s2	var.ASD.s2	mean.ASD.adm	var.ASD.adm	mean.het.s1	var.het.s1	mean.het.s2	var.het.s2	mean.het.adm	var.het.adm	mean.F.s1	var.F.s1	mean.F.s2	var.F.s2	mean.F.adm	var.F.adm	mean.adm.props	var.adm.props	skew.adm.props	kurt.adm.props	mode.adm.props	mean.adm.angles	var.adm.angles	skew.adm.angles	kurt.adm.angles	mode.adm.angles	perc0.adm.props	perc10.adm.props	perc20.adm.props	perc30.adm.props	perc40.adm.props	perc50.adm.props	perc60.adm.props	perc70.adm.props	perc80.adm.props	perc90.adm.props	perc100.adm.props	perc0.adm.angles	perc10.adm.angles	perc20.adm.angles	perc30.adm.angles	perc40.adm.angles	perc50.adm.angles	perc60.adm.angles	perc70.adm.angles	perc80.adm.angles	perc90.adm.angles	perc100.adm.angles
     2	1.646859e-01	2.613388e-01	8.560865e-02	4.750240e-02	2.708373e-05	4.562400e-02	3.565808e-05	4.995200e-02	3.290154e-05	3.048801e-01	5.044000e-02	3.054154e-05	3.707333e-02	3.329895e-05	2.350000e-02	1.846488e-05	5.821388e-02	1.410903e-02	4.466939e-02	1.327103e-02	2.920653e-02	1.110006e-02	1.329370e-02	2.267432e-02	-2.083333e-02	3.057101e-02	2.236011e-04	4.611060e-02	8.300721e-01	1.682127e-02	-5.010394e-01	-1.127794e+00	9.266889e-01	7.978975e-01	1.168010e-02	1.244303e+00	1.932815e+00	7.644037e-01	5.687903e-01	6.562151e-01	6.960327e-01	7.663882e-01	8.192487e-01	8.575746e-01	8.974060e-01	9.255195e-01	9.567647e-01	9.725643e-01	9.830491e-01	6.466871e-01	6.855235e-01	7.315335e-01	7.428091e-01	7.646465e-01	7.709906e-01	7.991193e-01	8.236198e-01	8.591455e-01	9.203373e-01	1.142886e+00
     4	1.689717e-01	2.537548e-01	7.552612e-02	4.575040e-02	2.977734e-05	4.258720e-02	3.139022e-05	4.908000e-02	4.878526e-05	3.333440e-01	5.008667e-02	4.447407e-05	3.737333e-02	2.857588e-05	2.036667e-02	1.652062e-05	5.796571e-02	1.396280e-02	4.409959e-02	1.301147e-02	2.543673e-02	8.835730e-03	1.735016e-02	3.146009e-02	1.858502e-02	3.425934e-02	-3.786906e-02	7.006400e-02	7.593700e-01	9.468106e-03	-2.262978e-01	-7.291701e-01	7.628216e-01	8.262778e-01	1.006026e-02	8.467577e-02	8.943122e-02	8.405110e-01	5.470236e-01	6.258651e-01	6.861945e-01	7.126453e-01	7.333235e-01	7.779301e-01	7.833734e-01	8.199061e-01	8.475105e-01	8.665654e-01	9.356945e-01	5.968778e-01	7.126182e-01	7.598443e-01	7.679006e-01	8.105522e-01	8.323334e-01	8.425190e-01	8.710060e-01	8.933742e-01	9.226450e-01	1.060250e+00
     6	3.046298e-01	2.477500e-01	9.572195e-02	5.383840e-02	3.431198e-05	4.247680e-02	2.313127e-05	5.076000e-02	3.288141e-05	5.385569e-01	4.896000e-02	3.306194e-05	3.957333e-02	2.107487e-05	1.767333e-02	1.569226e-05	5.691918e-02	1.373180e-02	4.636082e-02	1.267694e-02	2.240000e-02	8.274569e-03	-1.055560e-02	3.027765e-02	2.606001e-03	2.610432e-02	-5.000000e-02	4.336735e-02	-3.187016e-02	7.277722e-03	7.985648e-02	-1.101487e+00	-5.827916e-03	7.026072e-01	3.163526e-03	1.645102e-01	-7.315811e-01	6.850341e-01	-1.819949e-01	-1.392764e-01	-1.210463e-01	-9.099510e-02	-5.328704e-02	-2.239831e-02	1.997852e-04	6.958767e-03	3.881451e-02	7.210470e-02	1.302112e-01	5.905701e-01	6.381528e-01	6.646912e-01	6.772029e-01	6.830262e-01	6.884505e-01	7.039202e-01	7.138150e-01	7.610722e-01	7.767159e-01	8.098972e-01
     8	1.782069e-01	2.292880e-01	8.500314e-02	4.903040e-02	3.633722e-05	4.515520e-02	2.251273e-05	5.038400e-02	3.764718e-05	2.754828e-01	4.956667e-02	4.385173e-05	3.876667e-02	2.389186e-05	2.534000e-02	1.849940e-05	5.837061e-02	1.393720e-02	4.583184e-02	1.337999e-02	3.161796e-02	1.189277e-02	-2.243231e-02	2.971026e-02	1.204047e-02	3.187726e-02	3.098213e-03	3.276998e-02	5.717790e-01	1.220303e-02	2.244291e-01	-8.738044e-01	4.989859e-01	8.403466e-01	9.800140e-03	-3.668719e-01	-3.200831e-01	8.748344e-01	3.547661e-01	4.584070e-01	4.675905e-01	5.045338e-01	5.116930e-01	5.676793e-01	6.045086e-01	6.330294e-01	6.646253e-01	7.168110e-01	7.988428e-01	6.356107e-01	6.967609e-01	7.758046e-01	7.959149e-01	8.442710e-01	8.596368e-01	8.750867e-01	8.896506e-01	9.083698e-01	9.292191e-01	1.039505e+00
    10	1.661748e-01	2.564842e-01	7.272464e-02	5.032800e-02	2.917269e-05	4.806720e-02	4.416855e-05	4.994400e-02	3.477090e-05	2.987091e-01	5.133333e-02	3.036343e-05	3.856000e-02	2.836094e-05	2.597333e-02	2.022002e-05	5.994776e-02	1.420910e-02	4.514776e-02	1.269391e-02	3.275592e-02	1.151101e-02	-3.540498e-03	2.522168e-02	2.010632e-02	2.605414e-02	-3.798036e-02	3.883374e-02	7.797246e-01	1.812070e-02	8.840871e-02	-1.473926e+00	6.766115e-01	6.661499e-01	7.263125e-03	3.001624e-01	-9.373574e-01	6.190415e-01	5.488495e-01	6.244165e-01	6.630389e-01	6.840676e-01	6.971071e-01	7.353095e-01	8.347512e-01	8.941228e-01	9.146504e-01	9.562478e-01	9.978622e-01	5.130984e-01	5.709734e-01	5.963451e-01	6.077142e-01	6.311993e-01	6.477985e-01	6.785401e-01	7.116196e-01	7.517427e-01	7.784033e-01	8.479857e-01
    12	1.600992e-01	1.804611e-01	8.013001e-02	5.192800e-02	3.342590e-05	4.650240e-02	3.333373e-05	5.047200e-02	3.964705e-05	1.973867e-01	4.971333e-02	3.538243e-05	3.946000e-02	3.211545e-05	3.020667e-02	2.367621e-05	5.807184e-02	1.396358e-02	4.644571e-02	1.296406e-02	3.760980e-02	1.306910e-02	-1.518176e-03	1.798159e-02	1.131890e-02	2.587917e-02	-2.526480e-02	4.324742e-02	4.196460e-01	1.374427e-02	5.996795e-01	-3.468995e-01	3.535804e-01	7.981370e-01	1.338980e-02	6.473141e-01	4.873557e-02	7.609343e-01	2.363944e-01	2.900675e-01	3.119302e-01	3.426472e-01	3.601382e-01	4.186440e-01	4.375911e-01	4.658243e-01	5.121975e-01	5.642478e-01	7.130572e-01	6.174994e-01	6.712307e-01	6.991252e-01	7.383581e-01	7.583072e-01	7.742353e-01	8.177819e-01	8.547316e-01	8.912326e-01	9.244590e-01	1.107851e+00
    14	2.605114e-01	3.794300e-01	9.253877e-02	4.945280e-02	3.496612e-05	5.041920e-02	2.402912e-05	5.114560e-02	3.606691e-05	7.626050e-01	5.047333e-02	3.801601e-05	3.925333e-02	2.402925e-05	1.520000e-02	8.548495e-06	5.867429e-02	1.395376e-02	4.700408e-02	1.316136e-02	1.942857e-02	7.621786e-03	1.947799e-03	1.844691e-02	-1.778395e-02	1.235940e-02	-3.764706e-02	8.117215e-02	8.825589e-01	5.518537e-03	-2.525078e-01	-1.394704e+00	9.392055e-01	6.606521e-01	2.934590e-03	5.180772e-01	-9.280003e-01	6.186176e-01	7.523816e-01	7.839797e-01	8.016964e-01	8.392791e-01	8.677649e-01	8.927726e-01	9.202991e-01	9.407150e-01	9.510891e-01	9.631573e-01	9.913770e-01	5.961039e-01	6.032680e-01	6.060816e-01	6.148866e-01	6.347913e-01	6.475990e-01	6.656221e-01	6.966062e-01	7.096216e-01	7.219474e-01	7.808794e-01
    16	2.741497e-01	2.632652e-01	8.938438e-02	5.405120e-02	3.327302e-05	4.637600e-02	3.278628e-05	5.156320e-02	4.570473e-05	4.856760e-01	5.013333e-02	3.778149e-05	4.042667e-02	3.053307e-05	2.103333e-02	1.457414e-05	5.882286e-02	1.373455e-02	4.790857e-02	1.305516e-02	2.558857e-02	9.394588e-03	-1.049155e-02	3.530890e-02	-1.192748e-02	3.271711e-02	2.143814e-02	3.569674e-02	2.372413e-01	2.283661e-02	-1.728572e-01	-7.930359e-01	1.913937e-01	7.132017e-01	5.063145e-03	9.236129e-01	4.554516e-01	7.021250e-01	-8.880701e-02	3.849581e-02	1.617685e-01	1.710417e-01	1.860716e-01	1.967224e-01	2.537044e-01	3.473424e-01	3.878514e-01	4.324554e-01	4.928320e-01	6.051158e-01	6.393638e-01	6.538327e-01	6.730925e-01	6.998751e-01	7.067502e-01	7.100503e-01	7.242983e-01	7.506393e-01	8.004539e-01	9.067708e-01
    18	2.491669e-01	2.862276e-01	7.626326e-02	5.472320e-02	3.462678e-05	5.015040e-02	3.765683e-05	5.104320e-02	4.802858e-05	4.633452e-01	5.068000e-02	5.581030e-05	4.051333e-02	3.846470e-05	2.296667e-02	1.391193e-05	5.973714e-02	1.460521e-02	4.796245e-02	1.311972e-02	2.895184e-02	1.215573e-02	-2.180983e-02	2.579216e-02	4.220989e-03	3.482298e-02	3.011335e-02	2.882337e-02	4.787655e-01	2.982176e-02	-1.674953e-01	-8.315478e-01	4.368311e-01	6.260274e-01	3.277364e-03	2.132771e-01	-1.465974e+00	5.858891e-01	1.226795e-01	2.596969e-01	3.593667e-01	4.095763e-01	4.303111e-01	4.716696e-01	4.906290e-01	6.058498e-01	6.574989e-01	6.869783e-01	7.801717e-01	5.407925e-01	5.628524e-01	5.765004e-01	5.842999e-01	5.949934e-01	6.170734e-01	6.318293e-01	6.779038e-01	6.914104e-01	6.959623e-01	7.272416e-01
    20	3.341915e-01	3.121654e-01	8.432364e-02	5.211680e-02	2.725717e-05	4.146240e-02	2.005988e-05	4.890080e-02	3.149976e-05	9.111016e-01	4.927333e-02	3.056718e-05	3.658667e-02	2.148745e-05	1.261333e-02	1.010417e-05	5.658122e-02	1.380960e-02	4.463510e-02	1.304048e-02	1.528000e-02	5.451042e-03	2.441136e-02	1.988692e-02	-3.057903e-02	2.676983e-02	2.094241e-02	6.013404e-02	8.413533e-02	1.619564e-02	-7.006988e-01	1.481077e+00	1.473060e-01	6.730546e-01	2.738855e-03	-3.404743e-01	1.595604e-01	6.703758e-01	-2.897262e-01	-3.227027e-02	9.587265e-04	3.440095e-02	7.122602e-02	9.934412e-02	1.347448e-01	1.487077e-01	1.796620e-01	1.918130e-01	3.701091e-01	5.350567e-01	6.147503e-01	6.369753e-01	6.542522e-01	6.646002e-01	6.717068e-01	6.808902e-01	6.957701e-01	7.115964e-01	7.412953e-01	7.683589e-01
