     1	Fst.s1.adm	Fst.s2.adm	Fst.s1.s2	mean.ASD.s1.adm	var.ASD.s1.adm	mean.ASD.s2.adm	var.ASD.s2.adm	mean.ASD.s1.s2	var.ASD.s1.s2	f3	mean.ASD.s1	var.ASD.s1	mean.ASD.s2	var.ASD.s2	mean.ASD.adm	var.ASD.adm	mean.het.s1	var.het.s1	mean.het.s2	var.het.s2	mean.het.adm	var.het.adm	mean.F.s1	var.F.s1	mean.F.s2	var.F.s2	mean.F.adm	var.F.adm	mean.adm.props	var.adm.props	skew.adm.props	kurt.adm.props	mode.adm.props	mean.adm.angles	var.adm.angles	skew.adm.angles	kurt.adm.angles	mode.adm.angles	perc0.adm.props	perc10.adm.props	perc20.adm.props	perc30.adm.props	perc40.adm.props	perc50.adm.props	perc60.adm.props	perc70.adm.props	perc80.adm.props	perc90.adm.props	perc100.adm.props	perc0.adm.angles	perc10.adm.angles	perc20.adm.angles	perc30.adm.angles	perc40.adm.angles	perc50.adm.angles	perc60.adm.angles	perc70.adm.angles	perc80.adm.angles	perc90.adm.angles	perc100.adm.angles
     2	1.971411e-01	2.108050e-01	7.205202e-02	5.245920e-02	2.817502e-05	4.509440e-02	3.104716e-05	4.984800e-02	3.182782e-05	2.976291e-01	5.087333e-02	2.858591e-05	3.806667e-02	2.374805e-05	2.629333e-02	3.741200e-05	6.014857e-02	1.472910e-02	4.647837e-02	1.362440e-02	3.085061e-02	9.316661e-03	-1.748052e-02	2.450811e-02	-3.618098e-02	2.822528e-02	3.016511e-02	5.900646e-02	3.464288e-01	2.101978e-02	3.112690e-02	-2.932157e-01	3.898286e-01	7.255379e-01	9.744672e-03	3.215312e-01	-1.196803e+00	6.439448e-01	3.888757e-02	1.803773e-01	2.034936e-01	2.711966e-01	3.158607e-01	3.680479e-01	3.949727e-01	4.180753e-01	4.332878e-01	5.241039e-01	6.836740e-01	5.882612e-01	6.162319e-01	6.353467e-01	6.461611e-01	6.619991e-01	7.199384e-01	7.543926e-01	7.883587e-01	8.179771e-01	8.493584e-01	9.293556e-01
     4	1.760799e-01	3.173322e-01	8.796800e-02	4.530400e-02	3.215423e-05	4.725280e-02	2.839753e-05	5.136640e-02	3.683829e-05	4.644567e-01	5.102667e-02	3.361802e-05	3.908000e-02	3.064910e-05	1.814000e-02	1.268268e-05	5.775510e-02	1.380398e-02	4.684571e-02	1.311590e-02	2.181878e-02	7.525611e-03	5.947703e-02	2.115329e-02	-9.270554e-03	2.884153e-02	1.002694e-02	8.472340e-02	9.017081e-01	9.789556e-03	-1.738451e+00	2.766858e+00	9.522313e-01	7.675607e-01	1.132506e-02	-1.143365e-01	-5.694288e-01	7.510869e-01	5.734547e-01	7.812761e-01	8.545600e-01	8.999445e-01	9.140213e-01	9.316864e-01	9.485129e-01	9.520164e-01	9.784037e-01	9.835242e-01	9.963782e-01	5.304247e-01	6.335202e-01	6.948115e-01	7.069661e-01	7.416183e-01	7.681723e-01	7.994832e-01	8.283660e-01	8.492488e-01	8.984620e-01	9.788175e-01
     6	1.722753e-01	1.985437e-01	7.409344e-02	5.494880e-02	3.640122e-05	5.168480e-02	3.045658e-05	5.038720e-02	3.570561e-05	2.169722e-01	4.916000e-02	3.924522e-05	4.016667e-02	2.161761e-05	3.361333e-02	3.463929e-05	5.864653e-02	1.453200e-02	4.762939e-02	1.311207e-02	4.327837e-02	1.544106e-02	-2.989894e-02	2.296902e-02	-1.953861e-02	2.167603e-02	-6.473517e-02	1.592440e-02	5.288385e-01	5.872326e-02	-8.057555e-01	-3.435689e-01	6.716361e-01	6.724406e-01	6.599795e-03	4.119602e-01	-3.062110e-01	6.388569e-01	-3.117975e-02	1.417310e-01	3.548750e-01	4.410607e-01	5.219728e-01	5.817872e-01	6.478877e-01	6.889277e-01	7.295842e-01	7.792175e-01	8.522929e-01	5.390952e-01	5.834614e-01	6.143706e-01	6.291849e-01	6.395668e-01	6.549603e-01	6.782425e-01	7.237338e-01	7.469198e-01	7.635533e-01	8.778578e-01
     8	1.739298e-01	2.632070e-01	8.894975e-02	5.223680e-02	3.417140e-05	5.140160e-02	2.278237e-05	4.970560e-02	4.089075e-05	2.775588e-01	4.966667e-02	3.755407e-05	3.715333e-02	2.404330e-05	2.996667e-02	1.721628e-05	5.740898e-02	1.347572e-02	4.396898e-02	1.263578e-02	3.727837e-02	1.396050e-02	1.200125e-02	2.405897e-02	1.113958e-03	3.491147e-02	2.102220e-03	4.125660e-02	8.348496e-01	1.363077e-02	-2.815847e-01	-1.275786e+00	9.207024e-01	6.784798e-01	3.344992e-03	1.361984e-01	-8.377614e-01	6.861104e-01	6.326177e-01	6.653624e-01	7.173952e-01	7.735583e-01	8.175558e-01	8.517911e-01	8.647311e-01	9.280159e-01	9.533795e-01	9.710858e-01	9.955325e-01	5.762786e-01	6.014358e-01	6.287184e-01	6.409660e-01	6.721439e-01	6.788794e-01	6.929673e-01	6.995852e-01	7.299443e-01	7.412763e-01	7.966945e-01
    10	1.887878e-01	2.142979e-01	7.546957e-02	5.359680e-02	3.327307e-05	4.784320e-02	2.717730e-05	5.126400e-02	3.924269e-05	2.669302e-01	5.167333e-02	4.084276e-05	3.983333e-02	2.474136e-05	2.815333e-02	1.584263e-05	6.078857e-02	1.428241e-02	4.744653e-02	1.353908e-02	3.613878e-02	1.280047e-02	-2.519271e-02	2.937825e-02	6.882076e-03	3.510466e-02	-7.806641e-02	3.550761e-02	4.443149e-01	2.951593e-02	3.313923e-02	-5.321328e-01	4.368897e-01	7.155597e-01	1.028436e-02	8.638549e-01	6.205280e-01	6.835195e-01	9.684610e-02	2.174795e-01	3.084279e-01	4.086439e-01	4.210638e-01	4.348222e-01	4.569271e-01	4.896100e-01	5.406897e-01	6.998150e-01	7.680635e-01	5.681223e-01	5.884478e-01	6.546329e-01	6.708305e-01	6.779203e-01	6.967010e-01	7.097594e-01	7.563285e-01	7.797333e-01	8.429279e-01	1.004201e+00
    12	1.796536e-01	1.795046e-01	8.750366e-02	5.659520e-02	4.368684e-05	4.967840e-02	4.213839e-05	4.975200e-02	4.750410e-05	1.927782e-01	4.888000e-02	4.090194e-05	3.879333e-02	2.610430e-05	3.701333e-02	3.721721e-05	5.722122e-02	1.392436e-02	4.570939e-02	1.284395e-02	4.550857e-02	1.535810e-02	-1.221182e-02	4.555521e-02	1.114405e-02	3.174834e-02	-5.524862e-03	4.640525e-02	2.332618e-01	5.492703e-02	-4.770497e-01	-7.505742e-01	2.473521e-01	6.902176e-01	8.969121e-03	8.304558e-01	-4.999406e-01	6.508022e-01	-2.679741e-01	-8.243007e-02	5.656859e-02	1.491262e-01	1.869730e-01	2.503669e-01	2.942720e-01	4.186022e-01	4.582593e-01	4.819212e-01	5.871828e-01	5.683392e-01	5.960655e-01	6.212217e-01	6.286967e-01	6.516954e-01	6.645799e-01	6.820365e-01	6.964907e-01	7.927265e-01	8.347048e-01	9.095259e-01
    14	2.194708e-01	2.593304e-01	8.535795e-02	6.112480e-02	3.023119e-05	5.811840e-02	2.921993e-05	5.019360e-02	3.547047e-05	2.933442e-01	4.968667e-02	4.672424e-05	3.864667e-02	2.526604e-05	3.816667e-02	3.069454e-05	5.743673e-02	1.354028e-02	4.609469e-02	1.311792e-02	4.724408e-02	1.622072e-02	-5.685048e-05	2.703059e-02	1.246768e-02	2.624345e-02	-7.533607e-03	4.047186e-02	6.000966e-01	6.869815e-02	-2.778442e-01	-7.187067e-01	5.231391e-01	5.482855e-01	3.198880e-03	6.403818e-01	-4.021949e-01	5.093939e-01	-2.004230e-02	2.958632e-01	3.787536e-01	4.659911e-01	5.011293e-01	6.017727e-01	6.585076e-01	7.696771e-01	8.826494e-01	9.221438e-01	9.888457e-01	4.627163e-01	4.917883e-01	4.998277e-01	5.024144e-01	5.205853e-01	5.459908e-01	5.535894e-01	5.774008e-01	5.920305e-01	6.144067e-01	6.859710e-01
    16	1.570551e-01	8.667927e-02	8.052472e-02	5.240640e-02	4.350765e-05	4.051680e-02	3.003217e-05	4.918560e-02	4.061614e-05	1.198570e-01	4.903333e-02	3.715608e-05	3.801333e-02	2.777240e-05	3.236667e-02	2.309588e-05	5.721306e-02	1.397567e-02	4.565224e-02	1.284441e-02	4.019755e-02	1.424251e-02	2.282910e-04	2.087576e-02	-2.689364e-02	2.848194e-02	-5.036351e-03	3.073731e-02	-1.701901e-01	4.545560e-02	-5.802003e-01	-8.817775e-01	-3.617386e-02	7.614369e-01	4.037980e-02	2.524220e-02	-1.170978e+00	6.358560e-01	-6.313033e-01	-4.986433e-01	-3.572636e-01	-2.797153e-01	-1.993940e-01	-8.261383e-02	-5.754930e-02	-2.976421e-02	3.531964e-03	2.465783e-02	1.453390e-01	3.812980e-01	5.219769e-01	5.843271e-01	6.105398e-01	6.909458e-01	7.404477e-01	8.437238e-01	9.211408e-01	9.376353e-01	9.969491e-01	1.149720e+00
    18	1.926505e-01	1.856415e-01	8.634336e-02	5.671200e-02	3.443936e-05	4.812960e-02	3.023478e-05	4.966720e-02	4.143714e-05	2.163870e-01	4.915333e-02	2.927407e-05	3.732000e-02	2.656615e-05	3.431333e-02	3.525266e-05	5.715918e-02	1.367664e-02	4.470204e-02	1.257693e-02	4.173551e-02	1.466123e-02	-7.712082e-03	2.305766e-02	-2.724617e-02	2.126503e-02	2.816571e-02	3.875567e-02	1.664271e-01	3.897428e-02	-6.430519e-01	-2.404841e-01	2.210309e-01	7.040426e-01	1.161439e-02	3.223049e-01	-1.264441e+00	6.158233e-01	-3.151857e-01	-1.018997e-01	1.348800e-02	1.027985e-01	1.772251e-01	2.091376e-01	2.233827e-01	2.686372e-01	3.177940e-01	3.823402e-01	4.754331e-01	5.580112e-01	5.817861e-01	6.046992e-01	6.145373e-01	6.425565e-01	7.056126e-01	7.304668e-01	7.770877e-01	8.077767e-01	8.371652e-01	9.087069e-01
    20	3.152654e-03	6.966293e-02	8.272932e-02	5.153440e-02	3.422037e-05	5.085920e-02	3.637117e-05	5.049920e-02	3.922476e-05	5.789374e-03	5.022000e-02	4.212535e-05	3.938000e-02	3.001565e-05	5.258667e-02	3.024330e-05	5.879184e-02	1.364260e-02	4.587755e-02	1.289157e-02	6.063184e-02	1.407419e-02	-4.221050e-03	3.492185e-02	2.000000e-02	2.852596e-02	1.437919e-02	2.097445e-02	7.667062e-01	4.914587e-02	-1.370619e+00	1.155928e+00	8.990803e-01	1.282044e+00	4.471836e-01	7.585058e-01	-3.001839e-01	8.919280e-01	1.223783e-01	4.591360e-01	6.709106e-01	7.095235e-01	7.900477e-01	8.242968e-01	9.014067e-01	9.130718e-01	9.261125e-01	9.647967e-01	9.853507e-01	3.752808e-01	5.956434e-01	6.878623e-01	8.588117e-01	9.408495e-01	1.134412e+00	1.294313e+00	1.631126e+00	1.782318e+00	2.228367e+00	2.988419e+00
