     1	Fst.s1.adm	Fst.s2.adm	Fst.s1.s2	mean.ASD.s1.adm	var.ASD.s1.adm	mean.ASD.s2.adm	var.ASD.s2.adm	mean.ASD.s1.s2	var.ASD.s1.s2	f3	mean.ASD.s1	var.ASD.s1	mean.ASD.s2	var.ASD.s2	mean.ASD.adm	var.ASD.adm	mean.het.s1	var.het.s1	mean.het.s2	var.het.s2	mean.het.adm	var.het.adm	mean.F.s1	var.F.s1	mean.F.s2	var.F.s2	mean.F.adm	var.F.adm	mean.adm.props	var.adm.props	skew.adm.props	kurt.adm.props	mode.adm.props	mean.adm.angles	var.adm.angles	skew.adm.angles	kurt.adm.angles	mode.adm.angles	perc0.adm.props	perc10.adm.props	perc20.adm.props	perc30.adm.props	perc40.adm.props	perc50.adm.props	perc60.adm.props	perc70.adm.props	perc80.adm.props	perc90.adm.props	perc100.adm.props	perc0.adm.angles	perc10.adm.angles	perc20.adm.angles	perc30.adm.angles	perc40.adm.angles	perc50.adm.angles	perc60.adm.angles	perc70.adm.angles	perc80.adm.angles	perc90.adm.angles	perc100.adm.angles
     2	4.840303e-02	3.392706e-03	7.098761e-02	4.900480e-02	3.144389e-05	3.989760e-02	2.620745e-05	4.871680e-02	3.186999e-05	-1.194188e-03	4.950000e-02	2.881940e-05	3.788000e-02	2.708923e-05	4.144000e-02	3.105659e-05	5.843592e-02	1.440520e-02	4.608000e-02	1.329943e-02	4.921796e-02	1.325615e-02	-1.855163e-02	2.648115e-02	-3.819444e-02	2.855842e-02	-7.762224e-03	2.559437e-02	1.350824e-01	5.261763e-02	5.695260e-01	-8.223737e-01	8.042346e-02	1.689574e+00	4.906847e-01	-2.730328e-02	-1.251541e+00	1.991492e+00	-1.758603e-01	-1.304491e-01	-7.156606e-02	-2.660792e-02	8.291239e-02	9.479991e-02	1.257852e-01	1.798075e-01	3.503189e-01	5.048511e-01	5.883693e-01	4.485562e-01	8.601860e-01	9.858836e-01	1.198795e+00	1.493158e+00	1.778162e+00	1.902552e+00	2.122774e+00	2.251442e+00	2.574868e+00	2.840330e+00
     4	5.071391e-02	1.997694e-02	9.225099e-02	5.028640e-02	2.813098e-05	4.108640e-02	2.606624e-05	5.034560e-02	2.889639e-05	-3.636836e-03	5.074000e-02	2.899572e-05	3.683333e-02	2.532330e-05	4.277333e-02	2.466417e-05	5.848327e-02	1.406596e-02	4.449469e-02	1.304140e-02	5.027918e-02	1.351579e-02	2.194244e-02	1.880931e-02	-1.944740e-02	2.975418e-02	-2.402909e-03	2.254750e-02	2.481609e-01	4.348799e-02	3.348081e-01	-3.363123e-01	2.944086e-01	1.969166e+00	3.898326e-01	2.430993e-02	-1.363493e+00	1.618247e+00	-1.315844e-01	-4.695027e-03	7.030212e-02	1.424117e-01	1.995711e-01	2.573048e-01	2.989818e-01	3.486637e-01	3.764749e-01	4.877001e-01	7.341476e-01	9.028643e-01	1.236721e+00	1.395929e+00	1.485595e+00	1.802232e+00	1.923495e+00	2.092455e+00	2.416201e+00	2.639013e+00	2.795464e+00	2.972501e+00
     6	3.676457e-02	7.997312e-03	7.717009e-02	5.083040e-02	3.465388e-05	4.205120e-02	3.179225e-05	5.046560e-02	2.837742e-05	-8.145461e-03	5.163333e-02	3.817949e-05	3.826667e-02	2.654404e-05	4.476000e-02	4.053753e-05	5.967673e-02	1.411481e-02	4.620898e-02	1.323089e-02	5.221388e-02	1.388537e-02	1.335084e-02	1.329847e-02	-3.356535e-02	3.049107e-02	1.482130e-02	1.864806e-02	2.551338e-01	2.110844e-02	-1.263593e-01	-1.505592e+00	3.595731e-01	2.006121e+00	3.791072e-01	4.628005e-01	-1.069482e+00	1.685697e+00	3.408890e-03	8.406940e-02	9.391215e-02	1.258619e-01	2.213353e-01	2.782257e-01	3.285462e-01	3.539666e-01	4.043367e-01	4.340576e-01	4.725647e-01	1.007504e+00	1.418190e+00	1.591308e+00	1.629380e+00	1.658670e+00	1.777824e+00	1.994182e+00	2.256872e+00	2.690812e+00	3.003022e+00	3.072498e+00
     8	5.545627e-02	1.535152e-02	7.729363e-02	5.033920e-02	3.728219e-05	4.186880e-02	3.292186e-05	4.938560e-02	3.979819e-05	6.734276e-03	4.947333e-02	4.081200e-05	3.828000e-02	3.133271e-05	4.355333e-02	2.840852e-05	5.760980e-02	1.417735e-02	4.499265e-02	1.315076e-02	5.103347e-02	1.384682e-02	5.724650e-03	2.770807e-02	3.628710e-02	2.844056e-02	1.241282e-02	2.086201e-02	1.792204e-01	3.780577e-02	-3.659583e-01	-1.285478e+00	3.158337e-01	1.777894e+00	6.188502e-01	-5.666827e-02	-1.085287e+00	1.282155e+00	-1.609602e-01	-1.025627e-01	-1.503951e-02	5.442812e-02	1.529821e-01	2.233349e-01	2.847864e-01	3.102930e-01	3.615081e-01	3.896522e-01	4.780864e-01	8.682868e-02	9.549052e-01	1.039914e+00	1.229868e+00	1.394659e+00	1.737067e+00	1.956617e+00	2.347329e+00	2.673446e+00	2.789267e+00	3.057798e+00
    10	9.240447e-03	5.022142e-02	8.559222e-02	5.004000e-02	4.031731e-05	4.741600e-02	3.660231e-05	5.157120e-02	3.215878e-05	-4.947614e-03	5.123333e-02	3.033333e-05	3.987333e-02	2.625815e-05	4.773333e-02	4.280491e-05	5.855184e-02	1.422916e-02	4.613714e-02	1.242994e-02	5.609796e-02	1.450232e-02	3.948359e-02	2.346340e-02	2.724796e-02	3.164468e-02	-1.105937e-03	2.498903e-02	6.722418e-01	4.217279e-02	-5.105931e-01	-5.951164e-01	8.084892e-01	1.698518e+00	7.571614e-01	-5.836252e-02	-1.013636e+00	1.398174e+00	2.149105e-01	4.644031e-01	5.210957e-01	5.445957e-01	5.837690e-01	7.304577e-01	7.645680e-01	8.154102e-01	8.472242e-01	8.979715e-01	9.740859e-01	7.768434e-02	7.014181e-01	1.037418e+00	1.246694e+00	1.433833e+00	1.564124e+00	1.750436e+00	2.311230e+00	2.574206e+00	2.909165e+00	3.026069e+00
    12	2.633598e-03	8.715352e-02	8.436497e-02	4.987360e-02	2.896957e-05	5.038240e-02	2.774616e-05	4.969600e-02	4.162859e-05	1.355884e-02	4.955333e-02	4.546537e-05	3.836000e-02	2.948870e-05	4.977333e-02	2.681133e-05	5.643102e-02	1.319637e-02	4.481633e-02	1.287530e-02	5.791837e-02	1.399978e-02	2.464992e-02	2.785611e-02	2.535519e-02	2.716451e-02	-6.934461e-03	2.977857e-02	8.068250e-01	1.636225e-02	-1.101389e+00	1.667290e+00	8.444873e-01	1.157976e+00	5.123776e-01	6.920686e-01	-6.488449e-01	8.080594e-01	4.027012e-01	6.735210e-01	7.149061e-01	7.592426e-01	7.914012e-01	8.299319e-01	8.425766e-01	8.756849e-01	9.067097e-01	9.432467e-01	9.951616e-01	1.364329e-01	4.517204e-01	5.866012e-01	6.752578e-01	8.833413e-01	9.961630e-01	1.038787e+00	1.354330e+00	1.967501e+00	2.185951e+00	2.837939e+00
    14	8.231342e-03	4.481191e-02	8.432376e-02	5.165280e-02	3.400907e-05	4.694240e-02	3.782360e-05	5.109440e-02	2.980037e-05	-6.813149e-03	5.247333e-02	3.100598e-05	3.786667e-02	2.012263e-05	4.983333e-02	3.757079e-05	5.990694e-02	1.387175e-02	4.471347e-02	1.262988e-02	5.751184e-02	1.402237e-02	2.649007e-02	2.142567e-02	3.432285e-03	3.076419e-02	1.237722e-02	2.045786e-02	6.574217e-01	4.379802e-02	-2.517580e-01	-1.397658e+00	8.005925e-01	1.899910e+00	4.079933e-01	1.664470e-01	-1.160137e+00	1.803219e+00	3.080577e-01	3.682798e-01	4.740795e-01	4.986393e-01	5.825108e-01	7.232010e-01	7.548675e-01	8.042641e-01	8.465780e-01	9.133730e-01	9.555234e-01	8.658593e-01	1.087470e+00	1.204296e+00	1.612479e+00	1.783079e+00	1.826691e+00	1.885046e+00	2.243487e+00	2.670740e+00	2.744667e+00	3.039982e+00
    16	1.974445e-02	3.309349e-02	9.046056e-02	5.013600e-02	3.314013e-05	4.521760e-02	2.812245e-05	5.223680e-02	3.155922e-05	-1.295658e-02	5.142000e-02	2.667920e-05	3.991333e-02	3.094230e-05	4.567333e-02	2.799996e-05	5.998857e-02	1.416415e-02	4.707102e-02	1.298703e-02	5.399510e-02	1.413717e-02	-6.858449e-03	2.491690e-02	-7.838785e-03	3.106946e-02	-4.535559e-03	1.604315e-02	5.216708e-01	4.222811e-02	1.043553e-01	-9.379789e-01	5.908172e-01	2.196823e+00	4.004106e-01	-1.108039e-01	-1.449833e+00	2.772034e+00	1.665449e-01	2.858910e-01	3.036292e-01	3.736607e-01	4.629108e-01	5.375494e-01	6.017976e-01	6.262812e-01	6.685789e-01	7.628106e-01	9.483237e-01	1.102044e+00	1.408565e+00	1.534508e+00	1.726688e+00	1.982720e+00	2.135198e+00	2.525323e+00	2.674475e+00	2.871203e+00	2.970760e+00	3.087993e+00
    18	1.897209e-02	2.833161e-02	8.119924e-02	4.996480e-02	2.717825e-05	4.611040e-02	3.133875e-05	5.112480e-02	2.357094e-05	-9.202180e-03	4.952667e-02	3.074511e-05	4.054000e-02	2.411545e-05	4.741333e-02	2.923327e-05	5.865959e-02	1.389999e-02	4.766694e-02	1.375705e-02	5.482286e-02	1.410554e-02	-3.239723e-02	3.037148e-02	2.657898e-02	2.802061e-02	1.792787e-02	3.903007e-02	5.357213e-01	3.967237e-02	5.424251e-01	-2.250295e-02	5.000161e-01	2.292601e+00	2.570800e-01	-2.363133e-01	-1.075946e+00	2.611496e+00	1.303164e-01	3.454499e-01	3.832377e-01	4.143628e-01	4.816737e-01	5.093799e-01	5.526947e-01	5.715837e-01	6.319713e-01	8.305021e-01	9.985387e-01	1.245174e+00	1.669590e+00	1.838078e+00	1.999677e+00	2.134179e+00	2.350613e+00	2.576520e+00	2.637943e+00	2.706286e+00	2.940347e+00	3.075827e+00
    20	3.574512e-03	6.255439e-02	7.947974e-02	5.025440e-02	3.721563e-05	4.918560e-02	3.521870e-05	4.957440e-02	3.217755e-05	3.864505e-03	4.924000e-02	3.385525e-05	3.892000e-02	2.440829e-05	5.063333e-02	3.065440e-05	5.715592e-02	1.361777e-02	4.483592e-02	1.262650e-02	5.851265e-02	1.413077e-02	1.182587e-02	3.114976e-02	4.362392e-02	3.118669e-02	1.696476e-02	4.520216e-02	7.993835e-01	2.074619e-02	-2.866827e-01	-1.306116e+00	8.975028e-01	1.511888e+00	3.990416e-01	1.317659e-01	-1.350805e+00	1.140228e+00	5.392118e-01	6.203832e-01	6.378686e-01	7.007347e-01	7.610077e-01	8.239645e-01	8.708757e-01	8.899672e-01	9.494829e-01	9.756405e-01	9.913474e-01	4.715594e-01	7.804017e-01	9.398129e-01	1.078171e+00	1.270558e+00	1.425205e+00	1.642977e+00	1.947027e+00	2.186394e+00	2.330197e+00	2.598878e+00
