     1	Fst.s1.adm	Fst.s2.adm	Fst.s1.s2	mean.ASD.s1.adm	var.ASD.s1.adm	mean.ASD.s2.adm	var.ASD.s2.adm	mean.ASD.s1.s2	var.ASD.s1.s2	f3	mean.ASD.s1	var.ASD.s1	mean.ASD.s2	var.ASD.s2	mean.ASD.adm	var.ASD.adm	mean.het.s1	var.het.s1	mean.het.s2	var.het.s2	mean.het.adm	var.het.adm	mean.F.s1	var.F.s1	mean.F.s2	var.F.s2	mean.F.adm	var.F.adm	mean.adm.props	var.adm.props	skew.adm.props	kurt.adm.props	mode.adm.props	mean.adm.angles	var.adm.angles	skew.adm.angles	kurt.adm.angles	mode.adm.angles	perc0.adm.props	perc10.adm.props	perc20.adm.props	perc30.adm.props	perc40.adm.props	perc50.adm.props	perc60.adm.props	perc70.adm.props	perc80.adm.props	perc90.adm.props	perc100.adm.props	perc0.adm.angles	perc10.adm.angles	perc20.adm.angles	perc30.adm.angles	perc40.adm.angles	perc50.adm.angles	perc60.adm.angles	perc70.adm.angles	perc80.adm.angles	perc90.adm.angles	perc100.adm.angles
     2	7.823132e-02	1.893471e-02	7.028135e-02	4.863040e-02	3.529747e-05	3.881920e-02	2.656181e-05	4.982080e-02	4.199989e-05	2.476522e-02	4.987333e-02	3.302069e-05	3.927333e-02	2.984477e-05	3.614667e-02	3.019915e-05	5.846204e-02	1.448321e-02	4.573714e-02	1.269291e-02	4.311510e-02	1.299326e-02	3.798034e-03	3.094769e-02	2.398801e-02	3.118716e-02	1.741896e-03	1.849110e-02	2.716465e-02	2.824570e-02	-8.641144e-01	1.682306e-01	1.076299e-01	1.421142e+00	5.048668e-01	3.177827e-01	-5.417509e-01	1.171404e+00	-4.313346e-01	-1.942986e-01	-9.993810e-02	-2.923476e-02	2.653427e-02	6.182504e-02	8.732017e-02	1.396586e-01	1.597266e-01	2.165150e-01	2.399540e-01	8.233930e-02	6.099173e-01	8.143263e-01	1.054949e+00	1.185795e+00	1.295588e+00	1.562680e+00	1.736029e+00	2.049418e+00	2.277852e+00	3.054482e+00
     4	1.614287e-02	5.808373e-02	8.011657e-02	5.111840e-02	3.677763e-05	4.823040e-02	5.172568e-05	5.081440e-02	3.467704e-05	6.161771e-03	5.084667e-02	4.463193e-05	3.934000e-02	3.141579e-05	4.878667e-02	3.576036e-05	5.945306e-02	1.427753e-02	4.680816e-02	1.301855e-02	5.736490e-02	1.512088e-02	-1.054511e-02	1.834025e-02	-2.204395e-02	3.741359e-02	1.479964e-03	1.822087e-02	6.217141e-01	1.030476e-01	-7.387231e-01	-8.245944e-01	8.438510e-01	1.243517e+00	5.679851e-01	5.035250e-01	-4.565856e-01	9.752329e-01	-6.010649e-02	1.533852e-01	3.209823e-01	5.935732e-01	6.159813e-01	6.528531e-01	8.311933e-01	8.815961e-01	9.056205e-01	9.375981e-01	9.640601e-01	1.663432e-02	4.254280e-01	5.925839e-01	8.295776e-01	9.487262e-01	1.097341e+00	1.369673e+00	1.553165e+00	1.725474e+00	2.297244e+00	2.929917e+00
     6	5.663888e-02	4.862273e-02	8.990332e-02	5.235520e-02	3.397299e-05	4.441600e-02	3.630103e-05	5.222720e-02	3.693868e-05	1.594850e-02	5.264000e-02	2.995692e-05	3.890667e-02	2.926885e-05	4.366000e-02	3.114154e-05	6.101878e-02	1.440338e-02	4.591020e-02	1.276254e-02	5.046857e-02	1.354705e-02	1.145181e-02	2.109961e-02	-3.698435e-03	3.534264e-02	3.623188e-02	3.634493e-02	3.728097e-01	7.363311e-02	-2.029980e-01	-8.984076e-01	4.109481e-01	1.506642e+00	4.176089e-01	5.659414e-01	-9.455955e-01	1.018676e+00	-1.399602e-01	3.068510e-02	1.514178e-01	2.261947e-01	3.538170e-01	4.126774e-01	4.177239e-01	5.241500e-01	6.283542e-01	7.018684e-01	8.483247e-01	7.409562e-01	8.510772e-01	9.486223e-01	9.952948e-01	1.104286e+00	1.260074e+00	1.622211e+00	2.023903e+00	2.103298e+00	2.311151e+00	3.031329e+00
     8	2.589648e-02	1.224922e-01	8.374276e-02	4.591360e-02	3.125214e-05	4.616160e-02	3.705237e-05	4.933920e-02	3.233668e-05	4.420694e-02	4.950667e-02	3.410363e-05	3.804667e-02	2.672691e-05	3.886000e-02	3.034823e-05	5.680163e-02	1.333315e-02	4.493714e-02	1.276065e-02	4.651592e-02	1.379157e-02	1.270444e-02	2.060898e-02	-4.069176e-03	2.279285e-02	-6.107192e-03	2.618933e-02	7.636377e-01	3.671075e-02	-7.368940e-01	-5.692155e-01	8.770537e-01	8.270657e-01	3.702860e-01	1.653887e+00	3.561503e+00	4.704615e-01	3.066674e-01	4.796212e-01	5.827478e-01	7.010377e-01	7.672076e-01	8.208086e-01	8.386942e-01	8.953613e-01	9.338192e-01	9.622078e-01	9.935675e-01	9.102320e-02	3.100071e-01	3.378032e-01	4.160279e-01	5.421663e-01	7.123491e-01	9.453713e-01	1.030813e+00	1.128676e+00	1.436068e+00	2.971876e+00
    10	4.808282e-02	2.671379e-02	8.173145e-02	5.083040e-02	4.196478e-05	4.238880e-02	2.669635e-05	5.089280e-02	3.310548e-05	4.878970e-03	5.177333e-02	3.249695e-05	3.813333e-02	2.255072e-05	4.278000e-02	3.996482e-05	5.895837e-02	1.377019e-02	4.532245e-02	1.306813e-02	5.186776e-02	1.456006e-02	3.389455e-02	2.273820e-02	7.997118e-03	3.945233e-02	-2.877018e-02	4.147301e-02	2.729688e-01	6.119091e-02	-8.658360e-01	9.161020e-01	2.563541e-01	1.811305e+00	6.471581e-01	-1.719048e-01	-1.115779e+00	2.302400e+00	-4.574987e-01	2.172997e-02	1.084090e-01	1.812952e-01	2.330996e-01	2.735942e-01	3.348166e-01	4.097538e-01	4.777321e-01	5.589376e-01	6.295757e-01	9.402560e-02	8.802640e-01	1.063852e+00	1.288260e+00	1.497559e+00	2.119268e+00	2.153694e+00	2.204677e+00	2.586582e+00	2.892908e+00	2.998486e+00
    12	3.320886e-02	5.985944e-02	9.721451e-02	5.065280e-02	4.067894e-05	4.615680e-02	3.124461e-05	5.184640e-02	4.208214e-05	5.311422e-03	5.090000e-02	4.121405e-05	3.884000e-02	3.020843e-05	4.526000e-02	4.308936e-05	5.850776e-02	1.409599e-02	4.549224e-02	1.282949e-02	5.394612e-02	1.495864e-02	1.824980e-02	2.244711e-02	2.928510e-02	2.672408e-02	-1.137946e-02	1.231537e-02	5.747331e-01	3.890585e-02	-1.329692e-02	-7.846408e-01	4.936697e-01	1.982673e+00	4.217258e-01	-8.605011e-02	-1.218863e+00	1.860959e+00	1.369834e-01	3.715292e-01	4.160004e-01	4.331995e-01	5.059236e-01	5.488516e-01	6.194730e-01	6.651388e-01	7.873744e-01	8.393886e-01	9.154984e-01	8.390209e-01	1.220362e+00	1.359195e+00	1.653539e+00	1.819629e+00	1.978037e+00	2.127507e+00	2.463489e+00	2.593706e+00	2.823680e+00	3.032966e+00
    14	9.603780e-02	4.496577e-02	8.001674e-02	4.867520e-02	3.407863e-05	3.891360e-02	2.167201e-05	4.974240e-02	3.614988e-05	4.454803e-02	4.962000e-02	4.361431e-05	3.817333e-02	2.877922e-05	3.421333e-02	2.480384e-05	5.792653e-02	1.388176e-02	4.588898e-02	1.335110e-02	4.150531e-02	1.246896e-02	-1.369786e-02	3.028675e-02	-1.985271e-02	2.421884e-02	-3.312092e-02	3.310326e-02	1.245082e-01	3.043516e-02	-3.457918e-01	-1.087480e+00	2.060633e-01	1.192057e+00	1.210380e-01	1.491086e+00	3.277620e+00	1.085491e+00	-2.072642e-01	-1.326751e-01	-6.012751e-02	6.585877e-02	1.033386e-01	1.495744e-01	2.026332e-01	2.241552e-01	2.773110e-01	3.253578e-01	4.049133e-01	6.325439e-01	8.899880e-01	9.672278e-01	1.010335e+00	1.079562e+00	1.108426e+00	1.225064e+00	1.277409e+00	1.323847e+00	1.562394e+00	2.389421e+00
    16	1.112541e-01	2.218178e-02	8.088064e-02	5.339520e-02	3.547978e-05	4.084160e-02	3.025532e-05	5.084160e-02	3.961429e-05	4.282681e-02	5.079333e-02	3.322805e-05	3.919333e-02	2.498591e-05	3.963333e-02	3.524972e-05	5.869878e-02	1.409495e-02	4.630694e-02	1.277552e-02	4.767184e-02	1.278110e-02	1.463021e-02	2.224321e-02	3.173148e-03	2.035132e-02	-5.219357e-02	4.076381e-02	-1.840428e-01	4.597138e-02	-2.583219e-01	1.484079e-01	-1.315310e-01	7.370032e-01	2.292653e-01	4.280196e-01	-6.367084e-01	3.712377e-01	-7.333455e-01	-3.994981e-01	-3.676893e-01	-3.392379e-01	-1.759480e-01	-1.580368e-01	-1.528550e-01	-7.228606e-02	-3.638231e-02	4.597393e-02	2.827429e-01	1.474071e-03	2.310609e-01	3.189068e-01	3.734155e-01	4.774404e-01	8.159958e-01	8.590159e-01	1.026045e+00	1.102169e+00	1.277326e+00	1.891592e+00
    18	5.299539e-02	4.992041e-02	8.930209e-02	4.933920e-02	4.003540e-05	4.374400e-02	2.771962e-05	5.022240e-02	3.207386e-05	1.466847e-02	4.922667e-02	3.366751e-05	3.907333e-02	2.234243e-05	4.204000e-02	3.718903e-05	5.739755e-02	1.431929e-02	4.637224e-02	1.324528e-02	4.941878e-02	1.414094e-02	1.041074e-02	2.499131e-02	1.147766e-02	2.370428e-02	1.413988e-02	3.751785e-02	4.012056e-01	2.712779e-02	1.514686e-02	-1.223451e+00	4.495668e-01	1.675421e+00	4.005361e-01	5.825698e-01	-4.942887e-01	1.363868e+00	1.236864e-01	1.898984e-01	2.468620e-01	2.897331e-01	3.682324e-01	4.144784e-01	4.473679e-01	4.986778e-01	5.382302e-01	6.142812e-01	6.811968e-01	7.444746e-01	1.015375e+00	1.152833e+00	1.294302e+00	1.411905e+00	1.581565e+00	1.826798e+00	1.900894e+00	2.100198e+00	2.516953e+00	3.104982e+00
    20	8.319320e-02	4.530499e-02	7.250345e-02	5.188480e-02	4.371107e-05	4.322560e-02	2.773588e-05	5.065920e-02	3.881155e-05	4.188464e-02	5.066667e-02	3.608250e-05	3.984000e-02	2.089739e-05	4.038000e-02	3.646381e-05	5.797388e-02	1.439955e-02	4.742041e-02	1.301490e-02	4.837388e-02	1.492545e-02	4.094737e-02	1.537254e-02	-2.403167e-02	2.631452e-02	2.261298e-02	3.018192e-02	9.776455e-02	6.319630e-02	-3.910261e-01	-2.969274e-01	1.753146e-01	1.156061e+00	2.607436e-01	9.545248e-01	1.446003e-01	8.547959e-01	-4.270574e-01	-2.581069e-01	-1.153269e-01	2.818338e-02	9.327578e-02	1.542722e-01	1.865786e-01	2.143572e-01	2.546961e-01	3.620305e-01	6.096784e-01	5.243026e-01	6.400403e-01	7.454670e-01	8.168942e-01	9.263157e-01	9.828236e-01	1.177654e+00	1.350867e+00	1.497795e+00	1.786516e+00	2.459631e+00
